Gruppo A
 Messico

Commissario tecnico:  Javier Aguirre

Lista definitiva dei convocati resa nota il 31 maggio 2026.[1]

N.	Pos.	Giocatore	Data nascita (età)	Pres.	Reti	Squadra
1	P	Raúl Rangel	25 febbraio 2000 (26 anni)	14	-8	 Guadalajara
2	D	Jorge Sánchez	10 dicembre 1997 (28 anni)	59	3	 PAOK
3	D	César Montes	24 febbraio 1997 (29 anni)	67	4	 Lokomotiv Mosca
4	D	Edson Álvarez 	24 ottobre 1997 (28 anni)	98	7	 Fenerbahçe
5	D	Johan Vásquez	22 ottobre 1998 (27 anni)	46	3	 Genoa
6	C	Erik Lira	8 maggio 2000 (26 anni)	25	0	 Cruz Azul
7	C	Luis Romo	5 giugno 1995 (31 anni)	63	4	 Guadalajara
8	C	Álvaro Fidalgo	9 aprile 1997 (29 anni)	4	0	 Betis
9	A	Raúl Jiménez	5 maggio 1991 (35 anni)	124	45	 Fulham
10	A	Alexis Vega	25 novembre 1997 (28 anni)	52	7	 Toluca
11	A	Santiago Giménez	18 aprile 2001 (25 anni)	47	6	 Milan
12	P	Carlos Acevedo	19 aprile 1996 (30 anni)	7	-4	 Santos Laguna
13	P	Guillermo Ochoa	13 luglio 1985 (40 anni)	153	-154	 AEL Limassol
14	A	Armando González Alba	20 aprile 2003 (23 anni)	7	1	 Guadalajara
15	D	Israel Reyes	23 maggio 2000 (26 anni)	34	2	 América
16	A	Julián Quiñones	24 marzo 1997 (29 anni)	22	2	 Al-Qadisiya
17	C	Orbelín Pineda	24 marzo 1996 (30 anni)	92	12	 AEK Atene
18	C	Obed Vargas	5 marzo 2005 (21 anni)	6	0	 Atlético Madrid
19	C	Gilberto Mora	14 ottobre 2008 (17 anni)	8	0	 Club Tijuana
20	D	Mateo Chávez	12 maggio 2004 (22 anni)	10	0	 AZ
21	A	César Huerta	3 dicembre 2000 (25 anni)	26	3	 Anderlecht
22	A	Guillermo Martínez Ayala	15 marzo 1995 (31 anni)	12	3	 Pumas UNAM
23	D	Jesús Gallardo	15 agosto 1994 (31 anni)	121	3	 Toluca
24	C	Luis Chávez	15 gennaio 1996 (30 anni)	45	5	 Dinamo Mosca
25	A	Roberto Alvarado	7 settembre 1998 (27 anni)	67	5	 Guadalajara
26	C	Brian Gutiérrez	17 giugno 2003 (22 anni)	7	2	 Guadalajara
 Sudafrica

Commissario tecnico:  Hugo Broos

Lista definitiva dei convocati resa nota il 27 maggio 2026.[2][3]

N.	Pos.	Giocatore	Data nascita (età)	Pres.	Reti	Squadra
1	P	Ronwen Williams 	21 gennaio 1992 (34 anni)	64	-60	 M. Sundowns
2	D	Thabang Matuludi	14 gennaio 1999 (27 anni)	2	0	 Polokwane City
3	D	Khulumani Ndamane	5 febbraio 2004 (22 anni)	5	0	 M. Sundowns
4	C	Teboho Mokoena	24 gennaio 1997 (29 anni)	51	9	 M. Sundowns
5	C	Thalente Mbatha	6 marzo 2000 (26 anni)	15	3	 Orlando Pirates
6	D	Aubrey Modiba	22 luglio 1995 (30 anni)	44	3	 M. Sundowns
7	A	Oswin Appollis	25 agosto 2001 (24 anni)	26	8	 Orlando Pirates
8	A	Tshepang Moremi	2 ottobre 2000 (25 anni)	10	1	 Orlando Pirates
9	A	Lyle Foster	9 maggio 2000 (26 anni)	27	10	 Burnley
10	A	Relebohile Mofokeng	23 ottobre 2004 (21 anni)	13	0	 Orlando Pirates
11	A	Themba Zwane	3 agosto 1989 (36 anni)	54	12	 M. Sundowns
12	A	Thapelo Maseko	11 novembre 2003 (22 anni)	10	1	 AEL Limassol
13	C	Sphephelo Sithole	3 marzo 1999 (27 anni)	28	1	 Tondela
14	D	Mbekezeli Mbokazi	19 settembre 2005 (20 anni)	10	1	 Chicago Fire
